Track,Album Name,Artist,Release Date,All Time Rank,YouTube Views,TikTok Views,Explicit Track
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,390.0,7658766.0,1423956.0,0
Sarah's Place (feat. Noah Kahan),Sarah's Place (feat. Noah Kahan),Zach Bryan,9/21/2023,4183.0,1895430.0,1436305.0,0
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5/16/2024,507.0,3729783.0,1441200.0,0
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,5/4/2022,2613.0,444569952.0,1468789.0,0
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,1008.0,15237337.0,1510800.0,0
Only Girl (In The World),Loud (Japan Version),Rihanna,1/1/2010,4090.0,162454294.0,1513290.0,0
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,1314.0,117472301.0,1541896.0,1
DASH,Fe3O4: BREAK,NMIXX,1/15/2024,3530.0,59080794.0,1553400.0,0
Rasputin,Rasputin,Majestic,2/26/2021,1481.0,68681033.0,1560809.0,0
Summer Too Hot,Summer Too Hot,Chris Brown,6/23/2023,3047.0,24244922.0,1570567.0,1
Think I'm In Love With You,Think Iï¿½ï¿½ï¿½m In Love Wi,Chris Stapleton,9/8/2023,4333.0,6408371.0,1578390.0,0
Back to Me,VULTURES 1,Kanye West,2/9/2024,2599.0,5768907.0,1600000.0,1
Baby Car,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Bebefinn,10/28/2022,4110.0,294039774.0,1606012.0,0
CIRCUS MAXIMUS,UTOPIA,Travis Scott,7/28/2023,3366.0,4568866.0,1606512.0,1
Zhurek,Zhurek,Adam,10/6/2023,770.0,238585397.0,1640900.0,0
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,8/22/2022,2571.0,152603363.0,1672858.0,0
Main Sharabi,Main Sharabi,Rajeev Raja,12/6/2020,3225.0,722868512.0,1676397.0,0
Ahora Dice,Ahora Dice,Chris Jedi,3/17/2017,1779.0,1555093288.0,1702529.0,0
Standing Room Only,Standing Room Only,Tim McGraw,3/10/2023,4388.0,11529302.0,1709288.0,0
Can't Get Enough,Can't Get Enough,Jennifer Lopez,1/10/2024,2565.0,19200761.0,1752700.0,1
Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Elegï¿½ï¿½ (feat. Dï¿½ï¿½me,Rauw Alejandro,3/26/2020,3860.0,378728492.0,1774594.0,0
Porfa,Porfa,Feid,12/13/2019,2661.0,656159660.0,1796651.0,0
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,2304.0,6094390.0,1800000.0,1
M.A.I,111,Milo j,11/30/2023,1471.0,86105258.0,1805126.0,0
Rainfall,Rainfall,Tom Santa,2/18/2022,4167.0,13263610.0,1806528.0,0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol. 54 - Si",Bizarrap,3/22/2023,2191.0,154916805.0,1816865.0,0
"Badass (From ""Leo"")","Badass (From ""Leo"")",Anirudh Ravichander,9/28/2023,4174.0,94460422.0,1917705.0,0
Smack That - Dirty,Smack That (feat. Eminem),Akon,1/1/2006,3422.0,1251716030.0,1957205.0,1
Para de Mentir,Para de Mentir,Oruam,11/16/2023,3569.0,81099679.0,1998040.0,0
Love On The Brain,ANTI (Deluxe),Rihanna,1/28/2016,1943.0,1013766482.0,2054878.0,1
Sunshine,Sunshine,Tyga,8/12/2022,3363.0,12121852.0,2095787.0,1
Madonna,Madonna - Single,Natanael Cano,3/8/2024,354.0,105675950.0,2099500.0,1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,11.0,32229063.0,2100000.0,1
Freaks,Freaks,Surf Curse,5/15/2021,791.0,256738121.0,2110692.0,0
Rock My Body,Rock My Body (with INNA & Sash!),R3HAB,4/28/2023,3545.0,49199015.0,2164944.0,0
Asking,Asking (feat. Clementine Douglas),Sonny Fodera,7/7/2023,3117.0,7626020.0,2191926.0,0
I LOVE YOU HOE (w/ 9lives),3x3,Odetari,7/12/2023,2028.0,27712131.0,2200000.0,1
Would You (go to bed with me?),Would You (go to bed with me?),Campbell,7/21/2023,4405.0,12303071.0,2237426.0,0
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/2023,2709.0,307838128.0,2278729.0,0
Before You Leave Me,Before You Leave Me,Alex Warren,2/16/2024,1854.0,4417747.0,2306041.0,0
bigger thï¿½ï¿½n everyt,bigger thï¿½ï¿½n everyt,Yeat,8/10/2023,2832.0,11963045.0,2309009.0,1
DANï¿½ï¿½A,DANï¿½ï¿½A,PEDRO SAMPAIO,2/1/2022,4471.0,173364125.0,2321734.0,0
Hero,Hero,Alan Walker,5/4/2023,4367.0,82546258.0,2356835.0,0
Spotless (feat. The Lumineers),Spotless (feat. The Lumineers),Zach Bryan,8/24/2023,3271.0,5025676.0,2359449.0,1
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,7/28/2023,561.0,51312470.0,2439093.0,0
God is a woman,God is a woman,Ariana Grande,7/13/2018,4527.0,120105486.0,2480889.0,1
Skin de Bandida,Skin de Bandida - Single,Oscar Maydon,9/22/2023,2364.0,81376781.0,2498673.0,1
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,2811.0,7227379.0,2500000.0,0
